00GE               20211117                                                                                   
0601GEA0N       20220101002225005000010000 0000000000002744   
0601GEA0N       20220101002235005000010000 0000000000002749   
0601GEA0N       20220101002245005000010000 0000000000002754   
0601GEA0N       20220101002255005000010000 0000000000002758   
0601GEA0N       20220101002265005000010000 0000000000002763   
0601GEA0N       20220101002275005000010000 0000000000002767   
0601GEA0N       20220101002285005000010000 0000000000002772   
0601GEA0N       20220101002295005000010000 0000000000002777   
0601GEA0N       20220101002305005000010000 0000000000002781   
0601GEA0N       20220101002315005000010000 0000000000002785   
0601GEA0N       20220101002325005000010000 0000000000002790   
0601GEA0N       20220101002335005000010000 0000000000002794   
0601GEA0N       20220101002345005000010000 0000000000002798   
0601GEA0N       20220101002355005000010000 0000000000002803   
0601GEA0N       20220101002365005000010000 0000000000002807   
0601GEA0N       20220101002375005000010000 0000000000002811   
0601GEA0N       20220101002385005000010000 0000000000002815   
0601GEA0N       20220101002395005000010000 0000000000002819   
0601GEA0N       20220101002405005000010000 0000000000002823   
0601GEA0N       20220101002415005000010000 0000000000002827   
0601GEA0N       20220101002425005000010000 0000000000002831   
0601GEA0N       20220101002435005000010000 0000000000002835   
0601GEA0N       20220101002445005000010000 0000000000002839   
0601GEA0N       20220101002455005000010000 0000000000002843   
0601GEA0N       20220101002465005000010000 0000000000002847   
0601GEA0N       20220101002475005000010000 0000000000002851   
0601GEA0N       20220101002485005000010000 0000000000002854   
0601GEA0N       20220101002495005000010000 0000000000002858   
0601GEA0N       20220101002505005000010000 0000000000002862   
0601GEA0N       20220101002515005000010000 0000000000002866   
0601GEA0N       20220101002525005000010000 0000000000002869   
0601GEA0N       20220101002535005000010000 0000000000002873   
0601GEA0N       20220101002545005000010000 0000000000002877   
0601GEA0N       20220101002555005000010000 0000000000002880   
0601GEA0N       20220101002565005000010000 0000000000002884   
0601GEA0N       20220101002575005000010000 0000000000002888   
0601GEA0N       20220101002585005000010000 0000000000002892   
0601GEA0N       20220101002595005000010000 0000000000002896   
0601GEA0N       20220101002605005000010000 0000000000002900   
0601GEA0N       20220101002615005000010000 0000000000002903   
0601GEA0N       20220101002625005000010000 0000000000002907   
0601GEA0N       20220101002635005000010000 0000000000002910   
0601GEA0N       20220101002645005000010000 0000000000002914   
0601GEA0N       20220101002655005000010000 0000000000002918   
0601GEA0N       20220101002665005000010000 0000000000002921   
0601GEA0N       20220101002675005000010000 0000000000002925   
0601GEA0N       20220101002685005000010000 0000000000002929   
0601GEA0N       20220101002695005000010000 0000000000002932   
0601GEA0N       20220101002705005000010000 0000000000002935   
0601GEA0N       20220101002715005000010000 0000000000002939   
0601GEA0N       20220101002725005000010000 0000000000002943   
0601GEA0N       20220101002735005000010000 0000000000002946   
0601GEA0N       20220101002745005000010000 0000000000002950   
0601GEA0N       20220101002755005000010000 0000000000002954   
0601GEA0N       20220101002765005000010000 0000000000002957   
0601GEA0N       20220101002775005000010000 0000000000002961   
0601GEA0N       20220101002785005000010000 0000000000002964   
0601GEA0N       20220101002795005000010000 0000000000002968   
0601GEA0N       20220101002805005000010000 0000000000002971   
0601GEA0N       20220101002815005000010000 0000000000002975   
0601GEA0N       20220101002825005000010000 0000000000002979   
0601GEA0N       20220101002835005000010000 0000000000002982   
0601GEA0N       20220101002845005000010000 0000000000002985   
0601GEA0N       20220101002855005000010000 0000000000002988   
