00LU               20211201                                                                                   
0601LUA0N       20220101002535100000005000 0000000130002206   
0601LUA0N       20220101002540100000005000 0000000130002208   
0601LUA0N       20220101002545100000005000 0000000130002209   
0601LUA0N       20220101002550100000005000 0000000130002211   
0601LUA0N       20220101002555100000005000 0000000130002212   
0601LUA0N       20220101002560100000005000 0000000130002213   
0601LUA0N       20220101002565100000005000 0000000130002215   
0601LUA0N       20220101002570100000005000 0000000130002217   
0601LUA0N       20220101002575100000005000 0000000130002218   
0601LUA0N       20220101002580100000005000 0000000130002220   
0601LUA0N       20220101002585100000005000 0000000130002221   
0601LUA0N       20220101002590100000005000 0000000130002223   
0601LUA0N       20220101002595100000005000 0000000130002224   
0601LUA0N       20220101002600100000005000 0000000130002226   
0601LUA0N       20220101002605100000005000 0000000130002227   
0601LUA0N       20220101002610100000005000 0000000130002229   
0601LUA0N       20220101002615100000005000 0000000130002230   
0601LUA0N       20220101002620100000005000 0000000130002231   
0601LUA0N       20220101002625100000005000 0000000130002233   
0601LUA0N       20220101002630100000005000 0000000130002234   
0601LUA0N       20220101002635100000005000 0000000130002235   
0601LUA0N       20220101002640100000005000 0000000130002237   
0601LUA0N       20220101002645100000005000 0000000130002239   
0601LUA0N       20220101002650100000005000 0000000130002240   
0601LUA0N       20220101002655100000005000 0000000130002241   
0601LUA0N       20220101002660100000005000 0000000130002243   
0601LUA0N       20220101002665100000005000 0000000130002244   
0601LUA0N       20220101002670100000005000 0000000130002245   
0601LUA0N       20220101002675100000005000 0000000130002247   
0601LUA0N       20220101002680100000005000 0000000130002248   
0601LUA0N       20220101002685100000005000 0000000130002249   
0601LUA0N       20220101002690100000005000 0000000130002251   
0601LUA0N       20220101002695100000005000 0000000130002252   
0601LUA0N       20220101002700100000005000 0000000130002253   
0601LUA0N       20220101002705100000005000 0000000130002256   
0601LUA0N       20220101002710100000005000 0000000130002257   
0601LUA0N       20220101002715100000005000 0000000130002258   
0601LUA0N       20220101002720100000005000 0000000130002260   
0601LUA0N       20220101002725100000005000 0000000130002261   
0601LUA0N       20220101002730100000005000 0000000130002262   
0601LUA0N       20220101002735100000005000 0000000130002264   
0601LUA0N       20220101002740100000005000 0000000130002265   
0601LUA0N       20220101002745100000005000 0000000130002266   
0601LUA0N       20220101002750100000005000 0000000130002268   
0601LUA0N       20220101002755100000005000 0000000130002269   
0601LUA0N       20220101002760100000005000 0000000130002270   
