00SG               20211210                                                                                   
0601SGA0N       20220101002165100000005000 0000000050002223   
0601SGA0N       20220101002170100000005000 0000000050002224   
0601SGA0N       20220101002175100000005000 0000000050002227   
0601SGA0N       20220101002180100000005000 0000000050002228   
0601SGA0N       20220101002185100000005000 0000000050002230   
0601SGA0N       20220101002190100000005000 0000000050002231   
0601SGA0N       20220101002195100000005000 0000000050002234   
0601SGA0N       20220101002200100000005000 0000000050002235   
0601SGA0N       20220101002205100000005000 0000000050002237   
0601SGA0N       20220101002210100000005000 0000000050002239   
0601SGA0N       20220101002215100000005000 0000000050002241   
0601SGA0N       20220101002220100000005000 0000000050002242   
0601SGA0N       20220101002225100000005000 0000000050002245   
0601SGA0N       20220101002230100000005000 0000000050002246   
0601SGA0N       20220101002235100000005000 0000000050002248   
0601SGA0N       20220101002240100000005000 0000000050002250   
0601SGA0N       20220101002245100000005000 0000000050002252   
0601SGA0N       20220101002250100000005000 0000000050002253   
0601SGA0N       20220101002255100000005000 0000000050002256   
0601SGA0N       20220101002260100000005000 0000000050002257   
0601SGA0N       20220101002265100000005000 0000000050002258   
0601SGA0N       20220101002270100000005000 0000000050002261   
0601SGA0N       20220101002275100000005000 0000000050002262   
0601SGA0N       20220101002280100000005000 0000000050002263   
0601SGA0N       20220101002285100000005000 0000000050002266   
0601SGA0N       20220101002290100000005000 0000000050002267   
0601SGA0N       20220101002295100000005000 0000000050002268   
0601SGA0N       20220101002300100000005000 0000000050002271   
0601SGA0N       20220101002305100000005000 0000000050002272   
0601SGA0N       20220101002310100000005000 0000000050002273   
0601SGA0N       20220101002315100000005000 0000000050002276   
0601SGA0N       20220101002320100000005000 0000000050002277   
0601SGA0N       20220101002325100000005000 0000000050002278   
0601SGA0N       20220101002330100000005000 0000000050002281   
0601SGA0N       20220101002335100000005000 0000000050002282   
0601SGA0N       20220101002340100000005000 0000000050002283   
0601SGA0N       20220101002345100000005000 0000000050002285   
0601SGA0N       20220101002350100000005000 0000000050002287   
0601SGA0N       20220101002355100000005000 0000000050002288   
0601SGA0N       20220101002360100000005000 0000000050002289   
0601SGA0N       20220101002365100000005000 0000000050002292   
0601SGA0N       20220101002370100000005000 0000000050002293   
0601SGA0N       20220101002375100000005000 0000000050002294   
0601SGA0N       20220101002380100000005000 0000000050002297   
0601SGA0N       20220101002385100000005000 0000000050002298   
0601SGA0N       20220101002390100000005000 0000000050002299   
0601SGA0N       20220101002395100000005000 0000000050002301   
0601SGA0N       20220101002400100000005000 0000000050002302   
0601SGA0N       20220101002405100000005000 0000000050002304   
0601SGA0N       20220101002410100000005000 0000000050002306   
0601SGA0N       20220101002415100000005000 0000000050002307   
0601SGA0N       20220101002420100000005000 0000000050002308   
0601SGA0N       20220101002425100000005000 0000000050002310   
0601SGA0N       20220101002430100000005000 0000000050002312   
0601SGA0N       20220101002435100000005000 0000000050002313   
0601SGA0N       20220101002440100000005000 0000000050002315   
0601SGA0N       20220101002445100000005000 0000000050002316   
0601SGA0N       20220101002450100000005000 0000000050002317   
0601SGA0N       20220101002455100000005000 0000000050002319   
0601SGA0N       20220101002460100000005000 0000000050002320   
0601SGA0N       20220101002465100000005000 0000000050002320   
0601SGA0N       20220101002470100000005000 0000000050002322   
0601SGA0N       20220101002475100000005000 0000000050002323   
0601SGA0N       20220101002480100000005000 0000000050002324   
0601SGA0N       20220101002485100000005000 0000000050002324   
0601SGA0N       20220101002490100000005000 0000000050002326   
0601SGA0N       20220101002495100000005000 0000000050002327   
0601SGA0N       20220101002500100000050000 0000000050002332   
0601SGA0N       20220101002550100000050000 0000000050002343   
0601SGA0N       20220101002600100000050000 0000000050002353   
0601SGA0N       20220101002650100000050000 0000000050002362   
0601SGA0N       20220101002700100000050000 0000000050002371   
0601SGA0N       20220101002750100000050000 0000000050002380   
0601SGA0N       20220101002800100000050000 0000000050002389   
0601SGA0N       20220101002850100000050000 0000000050002397   
0601SGA0N       20220101002900100000050000 0000000050002405   
0601SGA0N       20220101002950100000050000 0000000050002412   
0601SGA0N       20220101003000100000050000 0000000050002420   
0601SGA0N       20220101003050100000050000 0000000050002427   
0601SGA0N       20220101003100100000050000 0000000050002434   
0601SGA0N       20220101003150100000050000 0000000050002440   
0601SGA0N       20220101003200100000050000 0000000050002447   
0601SGA0N       20220101003250100000050000 0000000050002454   
0601SGA0N       20220101003300100000050000 0000000050002460   
0601SGA0N       20220101003350100000050000 0000000050002465   
0601SGA0N       20220101003400100000050000 0000000050002471   
0601SGA0N       20220101003450100000050000 0000000050002477   
0601SGA0N       20220101003500100000050000 0000000050002482   
0601SGA0N       20220101003550100000050000 0000000050002487   
0601SGA0N       20220101003600100000050000 0000000050002492   
0601SGA0N       20220101003650100000050000 0000000050002497   
0601SGA0N       20220101003700100000050000 0000000050002503   
0601SGA0N       20220101003750100000050000 0000000050002507   
0601SGA0N       20220101003800100000050000 0000000050002512   
0601SGA0N       20220101003850100000050000 0000000050002516   
0601SGA0N       20220101003900100000050000 0000000050002521   
0601SGA0N       20220101003950100000050000 0000000050002525   
0601SGA0N       20220101004000100000050000 0000000050002529   
0601SGA0N       20220101004050100000050000 0000000050002533   
0601SGA0N       20220101004100100000050000 0000000050002537   
0601SGA0N       20220101004150100000050000 0000000050002541   
0601SGA0N       20220101004200100000050000 0000000050002545   
