00VD               20220112                                                                                   
0601VDA0N       20220101001900100000005000 0000000000002587   
0601VDA0N       20220101001905100000005000 0000000000002590   
0601VDA0N       20220101001910100000005000 0000000000002593   
0601VDA0N       20220101001915100000005000 0000000000002598   
0601VDA0N       20220101001920100000005000 0000000000002602   
0601VDA0N       20220101001925100000005000 0000000000002604   
0601VDA0N       20220101001930100000005000 0000000000002609   
0601VDA0N       20220101001935100000005000 0000000000002613   
0601VDA0N       20220101001940100000005000 0000000000002615   
0601VDA0N       20220101001945100000005000 0000000000002620   
0601VDA0N       20220101001950100000005000 0000000000002623   
0601VDA0N       20220101001955100000005000 0000000000002626   
0601VDA0N       20220101001960100000005000 0000000000002631   
0601VDA0N       20220101001965100000005000 0000000000002633   
0601VDA0N       20220101001970100000005000 0000000000002636   
0601VDA0N       20220101001975100000005000 0000000000002641   
0601VDA0N       20220101001980100000005000 0000000000002644   
0601VDA0N       20220101001985100000005000 0000000000002647   
0601VDA0N       20220101001990100000005000 0000000000002651   
0601VDA0N       20220101001995100000005000 0000000000002654   
0601VDA0N       20220101002000100000050000 0000000000002672   
0601VDA0N       20220101002050100000050000 0000000000002703   
0601VDA0N       20220101002100100000050000 0000000000002735   
0601VDA0N       20220101002150100000050000 0000000000002766   
0601VDA0N       20220101002200100000050000 0000000000002795   
0601VDA0N       20220101002250100000050000 0000000000002825   
0601VDA0N       20220101002300100000050000 0000000000002852   
0601VDA0N       20220101002350100000050000 0000000000002878   
0601VDA0N       20220101002400100000050000 0000000000002905   
0601VDA0N       20220101002450100000050000 0000000000002932   
0601VDA0N       20220101002500100000050000 0000000000002956   
0601VDA0N       20220101002550100000050000 0000000000002981   
0601VDA0N       20220101002600100000050000 0000000000003004   
0601VDA0N       20220101002650100000050000 0000000000003026   
0601VDA0N       20220101002700100000050000 0000000000003049   
0601VDA0N       20220101002750100000050000 0000000000003071   
0601VDA0N       20220101002800100000050000 0000000000003093   
0601VDA0N       20220101002850100000050000 0000000000003114   
0601VDA0N       20220101002900100000050000 0000000000003135   
0601VDA0N       20220101002950100000050000 0000000000003155   
0601VDA0N       20220101003000100000050000 0000000000003173   
0601VDA0N       20220101003050100000050000 0000000000003192   
0601VDA0N       20220101003100100000050000 0000000000003209   
0601VDA0N       20220101003150100000050000 0000000000003227   
0601VDA0N       20220101003200100000050000 0000000000003244   
0601VDA0N       20220101003250100000050000 0000000000003260   
0601VDA0N       20220101003300100000050000 0000000000003275   
0601VDA0N       20220101003350100000050000 0000000000003290   
0601VDA0N       20220101003400100000050000 0000000000003306   
0601VDA0N       20220101003450100000050000 0000000000003320   
0601VDA0N       20220101003500100000050000 0000000000003334   
0601VDA0N       20220101003550100000050000 0000000000003347   
0601VDA0N       20220101003600100000050000 0000000000003361   
0601VDA0N       20220101003650100000050000 0000000000003374   
0601VDA0N       20220101003700100000050000 0000000000003386   
0601VDA0N       20220101003750100000050000 0000000000003398   
0601VDA0N       20220101003800100000050000 0000000000003410   
0601VDA0N       20220101003850100000050000 0000000000003423   
0601VDA0N       20220101003900100000050000 0000000000003433   
0601VDA0N       20220101003950100000050000 0000000000003444   
0601VDA0N       20220101004000100000050000 0000000000003455   
0601VDA0N       20220101004050100000050000 0000000000003466   
0601VDA0N       20220101004100100000050000 0000000000003475   
0601VDA0N       20220101004150100000050000 0000000000003486   
0601VDA0N       20220101004200100000050000 0000000000003495   
0601VDA0N       20220101004250100000050000 0000000000003505   
0601VDA0N       20220101004300100000050000 0000000000003514   
0601VDA0N       20220101004350100000050000 0000000000003523   
0601VDA0N       20220101004400100000050000 0000000000003532   
0601VDA0N       20220101004450100000050000 0000000000003540   
0601VDA0N       20220101004500100000050000 0000000000003549   
0601VDA0N       20220101004550100000050000 0000000000003557   
0601VDA0N       20220101004600100000050000 0000000000003565   
0601VDA0N       20220101004650100000050000 0000000000003573   
0601VDA0N       20220101004700100000050000 0000000000003580   
0601VDA0N       20220101004750100000050000 0000000000003589   
0601VDA0N       20220101004800100000050000 0000000000003596   
0601VDA0N       20220101004850100000050000 0000000000003603   
0601VDA0N       20220101004900100000050000 0000000000003610   
0601VDA0N       20220101004950100000050000 0000000000003617   
0601VDA0N       20220101005000100000050000 0000000000003625   
0601VDA0N       20220101005050100000050000 0000000000003631   
0601VDA0N       20220101005100100000050000 0000000000003637   
0601VDA0N       20220101005150100000050000 0000000000003644   
0601VDA0N       20220101005200100000050000 0000000000003651   
0601VDA0N       20220101005250100000050000 0000000000003657   
0601VDA0N       20220101005300100000050000 0000000000003663   
0601VDA0N       20220101005350100000050000 0000000000003668   
0601VDA0N       20220101005400100000050000 0000000000003674   
0601VDA0N       20220101005450100000050000 0000000000003680   
0601VDA0N       20220101005500100000050000 0000000000003686   
0601VDA0N       20220101005550100000050000 0000000000003691   
0601VDA0N       20220101005600100000050000 0000000000003697   
0601VDA0N       20220101005650100000050000 0000000000003703   
0601VDA0N       20220101005700100000050000 0000000000003708   
0601VDA0N       20220101005750100000050000 0000000000003713   
0601VDA0N       20220101005800100000050000 0000000000003717   
0601VDA0N       20220101005850100000050000 0000000000003722   
0601VDA0N       20220101005900100000050000 0000000000003728   
0601VDA0N       20220101005950100000050000 0000000000003733   
0601VDA0N       20220101006000100000050000 0000000000003737   
0601VDA0N       20220101006050100000050000 0000000000003742   
0601VDA0N       20220101006100100000050000 0000000000003747   
0601VDA0N       20220101006150100000050000 0000000000003751   
0601VDA0N       20220101006200100000050000 0000000000003756   
0601VDA0N       20220101006250100000050000 0000000000003760   
0601VDA0N       20220101006300100000050000 0000000000003764   
0601VDA0N       20220101006350100000050000 0000000000003768   
0601VDA0N       20220101006400100000050000 0000000000003773   
0601VDA0N       20220101006450100000050000 0000000000003777   
0601VDA0N       20220101006500100000050000 0000000000003781   
0601VDA0N       20220101006550100000050000 0000000000003785   
0601VDA0N       20220101006600100000050000 0000000000003789   
0601VDA0N       20220101006650100000050000 0000000000003793   
0601VDA0N       20220101006700100000050000 0000000000003796   
0601VDA0N       20220101006750100000050000 0000000000003800   
0601VDA0N       20220101006800100000050000 0000000000003804   
0601VDA0N       20220101006850100000050000 0000000000003808   
0601VDA0N       20220101006900100000050000 0000000000003811   
0601VDA0N       20220101006950100000050000 0000000000003814   
0601VDA0N       20220101007000100000050000 0000000000003819   
0601VDA0N       20220101007050100000050000 0000000000003822   
0601VDA0N       20220101007100100000050000 0000000000003825   
0601VDA0N       20220101007150100000050000 0000000000003828   
0601VDA0N       20220101007200100000050000 0000000000003831   
0601VDA0N       20220101007250100000050000 0000000000003834   
0601VDA0N       20220101007300100000050000 0000000000003836   
0601VDA0N       20220101007350100000050000 0000000000003838   
0601VDA0N       20220101007400100000050000 0000000000003840   
0601VDA0N       20220101007450100000050000 0000000000003843   
0601VDA0N       20220101007500100000050000 0000000000003845   
